Date,Price,Open,High,Low,Vol.,detail,Change %
2022:09:20,1675.505,1664.41,1680.44,1654.19,93.957,11.095,0.67%
2022:09:19,1664.41,1697.47,1698.32,1660.435,99.707,-33.06,-1.95%
2022:09:16,1697.47,1702.435,1707.15,1693.67,100.89,-4.965,-0.29%
2022:09:15,1702.435,1724.635,1731.835,1697.115,100.612,-22.2,-1.29%
2022:09:14,1724.635,1717.235,1735.18,1712.04,86.525,7.4,0.43%
2022:09:13,1717.235,1708.74,1729.566,1708.595,87.321,8.495,0.50%
2022:09:12,1708.74,1718.445,1728.235,1704,111.952,-9.705,-0.56%
2022:09:09,1718.445,1701.86,1719.505,1691.46,84.54,16.585,0.97%
2022:09:08,1701.86,1710.155,1726.795,1699.88,96.042,-8.295,-0.49%
2022:09:07,1710.155,1712.665,1715.84,1707.795,46.672,-2.51,-0.15%
2022:09:06,1712.665,1697.33,1718.015,1695.07,72.579,15.335,0.90%
2022:09:05,1697.33,1711.04,1711.47,1688.915,109.977,-13.71,-0.80%
2022:09:02,1711.04,1724.355,1726.595,1709.675,102.679,-13.315,-0.77%
2022:09:01,1724.355,1737.535,1740.61,1721.215,90.849,-13.18,-0.76%
2022:08:31,1737.535,1738.05,1745.555,1720.405,92.986,-0.515,-0.03%
2022:08:30,1738.05,1758.43,1758.835,1734.265,107.052,-20.38,-1.16%
2022:08:29,1758.43,1751.485,1765.575,1749.995,82.79,6.945,0.40%
2022:08:26,1751.485,1747.98,1755.94,1742.515,85.457,3.505,0.20%
2022:08:25,1747.98,1735.88,1754.11,1730.9,90.678,12.1,0.70%
2022:08:24,1735.88,1747.5,1749.09,1727.85,89.142,-11.62,-0.66%
2022:08:23,1747.5,1758.42,1759.355,1745.585,77.294,-10.92,-0.62%
2022:08:22,1758.42,1762.24,1772.465,1755.49,85.226,-3.82,-0.22%
2022:08:19,1762.24,1775.825,1782.4,1759.86,92.091,-13.585,-0.76%
2022:08:18,1775.825,1779.56,1783.195,1771.52,69.076,-3.735,-0.21%
2022:08:17,1779.56,1802.025,1802.375,1773.055,82.034,-22.465,-1.25%
2022:08:16,1802.025,1789.505,1802.18,1784.965,78.677,12.52,0.70%
2022:08:15,1789.505,1792.285,1799.42,1783.59,89.468,-2.78,-0.16%
2022:08:12,1792.285,1794.4,1807.96,1787.606,98.223,-2.115,-0.12%
2022:08:11,1794.4,1789.24,1800.47,1783.31,70.681,5.16,0.29%
2022:08:10,1789.24,1775.8,1790.045,1771.22,75.301,13.44,0.76%
2022:08:09,1775.8,1790.966,1794.945,1765.05,97.224,-15.166,-0.85%
2022:08:08,1790.966,1765.37,1794.96,1763.335,78.513,25.596,1.45%
2022:08:05,1765.37,1760.91,1772.835,1754.35,88.72,4.46,0.25%
2022:08:04,1760.91,1772.12,1788.12,1760.515,116.469,-11.21,-0.63%
2022:08:03,1772.12,1766.26,1775.38,1758.405,98.885,5.86,0.33%
2022:08:02,1766.26,1756.11,1767.99,1752.415,110.236,10.15,0.58%
2022:08:01,1756.11,1734.625,1757.065,1734.185,130.871,21.485,1.24%
2022:07:29,1734.625,1717.465,1740.34,1711.56,92.012,17.16,1.00%
2022:07:28,1717.465,1719.875,1728.225,1713.705,75.61,-2.41,-0.14%
2022:07:27,1719.875,1727.66,1736.3,1714.8,81.598,-7.785,-0.45%
2022:07:26,1727.66,1719.16,1739.355,1712.96,95.148,8.5,0.49%
2022:07:25,1719.16,1696.835,1720.25,1680.935,104.791,22.325,1.32%
2022:07:22,1696.835,1711.575,1714.535,1692.475,79.234,-14.74,-0.86%
2022:07:21,1711.575,1709.28,1718.48,1705.445,83.423,2.295,0.13%
2022:07:20,1709.28,1707.46,1723.99,1706.095,91.273,1.82,0.11%
2022:07:19,1707.46,1710.03,1716.675,1699.12,114.463,-2.57,-0.15%
2022:07:18,1710.03,1735.66,1736.605,1697.64,148.089,-25.63,-1.48%
2022:07:15,1735.66,1726.235,1745.425,1707.16,139.818,9.425,0.55%
2022:07:14,1726.235,1733.985,1744.336,1723.27,100.499,-7.75,-0.45%
2022:07:13,1733.985,1742.355,1744.62,1731.325,79.685,-8.37,-0.48%
2022:07:12,1742.355,1740.335,1752.47,1729.985,103.543,2.02,0.12%
2022:07:11,1740.335,1739.41,1749.13,1736.58,95.705,0.925,0.05%
2022:07:08,1739.41,1764.93,1772.9,1732.34,134.547,-25.52,-1.45%
2022:07:07,1764.93,1808.04,1812.19,1763.925,117.208,-43.11,-2.38%
2022:07:06,1808.04,1809.47,1814.375,1804.02,55.467,-1.43,-0.08%
2022:07:05,1809.47,1807.33,1809.495,1784.575,119.053,2.14,0.12%
2022:07:04,1807.33,1817.81,1825.21,1802.775,108.081,-10.48,-0.58%
2022:07:01,1817.81,1820.07,1833.11,1812.095,100.593,-2.26,-0.12%
2022:06:30,1820.07,1822.735,1829.5,1818.485,81.846,-2.665,-0.15%
2022:06:29,1822.735,1827.31,1841.105,1820.85,103.953,-4.575,-0.25%
2022:06:28,1827.31,1822.68,1831.87,1816.98,123.769,4.63,0.25%
2022:06:27,1822.68,1837.78,1846.125,1822.605,126.193,-15.1,-0.82%
2022:06:24,1837.78,1833.06,1847.93,1823.455,105.353,4.72,0.26%
2022:06:23,1833.06,1838.395,1843.665,1828.635,92.3,-5.335,-0.29%
2022:06:22,1838.395,1840.4,1846.165,1834.86,66.273,-2.005,-0.11%
2022:06:21,1840.4,1856.825,1856.825,1833.905,130.668,-16.425,-0.88%
2022:06:20,1856.825,1833.97,1857.635,1815.66,165.276,22.855,1.25%
2022:06:17,1833.97,1808.555,1841.965,1807.605,172.846,25.415,1.41%
2022:06:16,1808.555,1819.526,1831.7,1805.205,524.034,-10.971,-0.60%
