Date,Open,High,Low,Close,detail,dt_percent,Volume
2023:5:30,1959.48,1974.835,1953.7,1962.615,3.135,16.0,69234.0
2023:5:29,1943.12,1963.55,1932.11,1959.48,16.36,84.0,75804.0
2023:5:26,1946.93,1949.77,1940.385,1943.12,-3.81,-20.0,37313.0
2023:5:25,1940.595,1957.36,1936.815,1946.93,6.335,33.0,70979.0
2023:5:24,1957.225,1964.785,1938.915,1940.595,-16.63,-85.0,71543.0
2023:5:23,1975.115,1985.39,1956.77,1957.225,-17.89,-91.0,78959.0
2023:5:22,1971.72,1977.805,1954.3,1975.115,3.395,17.0,77592.0
2023:5:19,1977.895,1982.67,1968.905,1971.72,-6.175,-31.0,72635.0
2023:5:18,1957.685,1984.325,1954.13,1977.895,20.21,103.0,106304.0
2023:5:17,1982.01,1986.07,1952.01,1957.685,-24.325,-123.0,95953.0
2023:5:16,1988.885,1993.12,1975.095,1982.01,-6.875,-35.0,67870.0
2023:5:15,2016.365,2018.39,1985.53,1988.885,-27.48,-136.0,90207.0
2023:5:12,2011.025,2022.115,2007.845,2016.365,5.34,27.0,70894.0
2023:5:11,2015.03,2022.58,2000.96,2011.025,-4.005,-20.0,98231.0
2023:5:10,2029.74,2041.39,2011.185,2015.03,-14.71,-72.0,112821.0
2023:5:9,2034.535,2048.245,2021.565,2029.74,-4.795,-24.0,90192.0
2023:5:8,2021.355,2037.655,2019.55,2034.535,13.18,65.0,63973.0
