Date,Open,High,Low,Close,detail,dt_percent,Volume
2022:10:11,1712.74,1714.85,1690.695,1695,-17.74,-104,127040
2022:10:10,1716.445,1725.6,1706.955,1712.74,-3.705,-22,120952
2022:10:07,1726.465,1727.84,1700.59,1716.445,-10.02,-58,123662
2022:10:06,1699.795,1729.59,1695.24,1726.465,26.67,157,131946
2022:10:05,1660.95,1701.53,1659.695,1699.795,38.845,234,138190
2022:10:04,1660.85,1675.43,1659.32,1660.95,0.1,1,145095
2022:10:03,1659.995,1664.895,1641.575,1660.85,0.855,5,142394
2022:09:30,1629.49,1662.785,1614.925,1659.995,30.505,187,174988
2022:09:29,1622.845,1642.51,1622.845,1629.49,6.645,41,129013
2022:09:28,1643.925,1649.84,1621.205,1622.845,-21.08,-128,168541
2022:09:27,1671.335,1675.915,1639.745,1643.925,-27.41,-164,135455
2022:09:26,1673.8,1684.95,1655.715,1671.335,-2.465,-15,165919
2022:09:23,1664.845,1688.125,1653.87,1673.8,8.955,54,119812
2022:09:22,1675.7,1679.495,1660.03,1664.845,-10.855,-65,71504
2022:09:21,1675.505,1680.015,1659.75,1675.7,0.195,1,70055
2022:09:20,1664.41,1680.44,1654.19,1675.505,11.095,67,93957
2022:09:19,1697.47,1698.32,1660.435,1664.41,-33.06,-195,99707
2022:09:16,1702.435,1707.15,1693.67,1697.47,-4.965,-29,100890
2022:09:15,1724.635,1731.835,1697.115,1702.435,-22.2,-129,100612
2022:09:14,1717.235,1735.18,1712.04,1724.635,7.4,43,86525
2022:09:13,1708.74,1729.566,1708.595,1717.235,8.495,50,87321
2022:09:12,1718.445,1728.235,1704,1708.74,-9.705,-56,111952
2022:09:09,1701.86,1719.505,1691.46,1718.445,16.585,97,84540
2022:09:08,1710.155,1726.795,1699.88,1701.86,-8.295,-49,96042
2022:09:07,1712.665,1715.84,1707.795,1710.155,-2.51,-15,46672
2022:09:06,1697.33,1718.015,1695.07,1712.665,15.335,90,72579
2022:09:05,1711.04,1711.47,1688.915,1697.33,-13.71,-80,109977
2022:09:02,1724.355,1726.595,1709.675,1711.04,-13.315,-77,102679
2022:09:01,1737.535,1740.61,1721.215,1724.355,-13.18,-76,90849
2022:08:31,1738.05,1745.555,1720.405,1737.535,-0.515,-3,92986
2022:08:30,1758.43,1758.835,1734.265,1738.05,-20.38,-116,107052
