,Date,Price,Open,High,Low,Vol.,detail,dt_percent
320,2022:07:08,1739.41,1764.93,1772.9,1732.34,134547,-25.52,-145
321,2022:07:07,1764.93,1808.04,1812.19,1763.925,117208,-43.11,-238
322,2022:07:06,1808.04,1809.47,1814.375,1804.02,55467,-1.43,-8
323,2022:07:05,1809.47,1807.33,1809.495,1784.575,119053,2.14,12
324,2022:07:04,1807.33,1817.81,1825.21,1802.775,108081,-10.48,-58
325,2022:07:01,1817.81,1820.07,1833.11,1812.095,100593,-2.26,-12
326,2022:06:30,1820.07,1822.735,1829.5,1818.485,81846,-2.665,-15
327,2022:06:29,1822.735,1827.31,1841.105,1820.85,103953,-4.575,-25
328,2022:06:28,1827.31,1822.68,1831.87,1816.98,123769,4.63,25
329,2022:06:27,1822.68,1837.78,1846.125,1822.605,126193,-15.1,-82
330,2022:06:24,1837.78,1833.06,1847.93,1823.455,105353,4.72,26
331,2022:06:23,1833.06,1838.395,1843.665,1828.635,92300,-5.335,-29
332,2022:06:22,1838.395,1840.4,1846.165,1834.86,66273,-2.005,-11
333,2022:06:21,1840.4,1856.825,1856.825,1833.905,130668,-16.425,-88
334,2022:06:20,1856.825,1833.97,1857.635,1815.66,165276,22.855,125
335,2022:06:17,1833.97,1808.555,1841.965,1807.605,172846,25.415,141
336,2022:06:16,1808.555,1819.526,1831.7,1805.205,524034,-10.971,-60
337,2022:06:15,1819.526,1871.61,1879.13,1819.105,614995,-52.084,-278
338,2022:06:14,1871.61,1847.94,1876.005,1825.14,440405,23.67,128
339,2022:06:13,1847.94,1853.32,1855.41,1840.1,239684,-5.38,-29
340,2022:06:10,1853.32,1852.375,1859.685,1844.59,166273,0.945,5
341,2022:06:09,1852.375,1842.115,1855.635,1837.065,243976,10.26,56
342,2022:06:08,1842.115,1851.056,1857.9,1840.665,203298,-8.941,-48
343,2022:06:07,1851.056,1868.655,1874.17,1847.375,225588,-17.599,-94
344,2022:06:06,1868.655,1846.655,1870.48,1844.15,247484,22.0,119
345,2022:06:03,1846.655,1837.47,1849.976,1828.54,318499,9.185,50
346,2022:06:02,1837.47,1855.8,1857.186,1835.2,282487,-18.33,-99
347,2022:06:01,1855.8,1853.22,1864.085,1847.84,138793,2.58,14
348,2022:05:31,1853.22,1850.83,1862.05,1848.055,295218,2.39,13
349,2022:05:30,1850.83,1853.235,1854.43,1840.756,309994,-2.405,-13
350,2022:05:27,1853.235,1866.52,1868.11,1841.605,275388,-13.285,-71
351,2022:05:26,1866.52,1853.665,1869.75,1849.37,232483,12.855,69
352,2022:05:25,1853.665,1846.615,1865.53,1843.54,317377,7.05,38
353,2022:05:24,1846.615,1842.2,1849.49,1832.405,290138,4.415,24
